Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
03.010010 Copper Pipe - Hard - Type K,,,,,,,,,,,,,
03.010010.0010,"1/2"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0020,"3/4"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0030,"1"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0040,"1-1/4"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0050,"1-1/2"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0060,"2"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0070,"2-1/2"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0080,"3"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0090,"3-1/2"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0100,"1/2"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0110,"4"" Copper Pipe, Hard, Type K",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0120,"3/4"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0130,"1"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0140,"1-1/4"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0150,"1-1/2"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0160,"2"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0170,"2-1/2"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0180,"3"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010010.0190,"3-1/2"" Copper Pipe, Hard, Type K DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020 Copper Pipe - Hard - Type L,,,,,,,,,,,,,
03.010020.0010,"1/2"" Copper Pipe, Hard, Type L",LF,1.32,1,,75,0.2,HR,0,0,1,HR,0
03.010020.0020,"3/4"" Copper Pipe, Hard, Type L",LF,2.14,1,,75,0.25,HR,0,0,1,HR,0
03.010020.0030,"1"" Copper Pipe, Hard, Type L",LF,3.07,1,,75,4.44,HR,0,0,1,HR,0
03.010020.0040,"1-1/4"" Copper Pipe, Hard, Type L",LF,4.21,1,,75,0.25,HR,0,0,1,HR,0
03.010020.0050,"1-1/2"" Copper Pipe, Hard, Type L",LF,5.42,1,,75,0.3,HR,0,0,1,HR,0
03.010020.0060,"2"" Copper Pipe, Hard, Type L",LF,8.73,1,,75,0.35,HR,0,0,1,HR,0
03.010020.0070,"2-1/2"" Copper Pipe, Hard, Type L",LF,12.39,1,,75,0.35,HR,0,0,1,HR,0
03.010020.0080,"3"" Copper Pipe, Hard, Type L",LF,16.78,1,,75,0.5,HR,0,0,1,HR,0
03.010020.0090,"3-1/2"" Copper Pipe, Hard, Type L",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020.0100,"4"" Copper Pipe, Hard, Type L",LF,29.44,1,,75,0.65,HR,0,0,1,HR,0
03.010020.0110,"5"" Copper Pipe, Hard, Type L",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020.0120,"6"" Copper Pipe, Hard, Type L DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
03.010020.0130,"4"" Copper Pipe, Hard, Type L DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020.0140,"5"" Copper Pipe, Hard, Type L DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020.0150,"6"" Copper Pipe, Hard, Type L",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020.0160,"3/4"" Copper Pipe, Hard, Type L DELETE",LF,1.85,1,,75,1,HR,0,0,1,HR,0
03.010020.0170,"1"" Copper Pipe, Hard, Type L DELETE",LF,2.81,1,,75,1,HR,0,0,1,HR,0
03.010020.0180,"1-1/4"" Copper Pipe, Hard, Type L DELETE",LF,3.99,1,,75,1,HR,0,0,1,HR,0
03.010020.0190,"1-1/2"" Copper Pipe, Hard, Type L DELETE",LF,5.15,1,,75,1,HR,0,0,1,HR,0
03.010020.0200,"2"" Copper Pipe, Hard, Type L DELETE",LF,7.84,1,,75,1,HR,0,0,1,HR,0
03.010020.0210,"2-1/2"" Copper Pipe, Hard, Type L DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020.0220,"3"" Copper Pipe, Hard, Type L DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010020.0230,"3-1/2"" Copper Pipe, Hard, Type L DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030 Copper Pipe - Hard - Type M,,,,,,,,,,,,,
03.010030.0010,"1/2"" Copper Pipe, Hard, Type M",LF,0.81,1,,75,1,HR,0,0,1,HR,0
03.010030.0020,"3/4"" Copper Pipe, Hard, Type M",LF,1.3,1,,75,1,HR,0,0,1,HR,0
03.010030.0030,"1"" Copper Pipe, Hard, Type M",LF,2.21,1,,75,1,HR,0,0,1,HR,0
03.010030.0040,"1-1/4"" Copper Pipe, Hard, Type M",LF,3.25,1,,75,1,HR,0,0,1,HR,0
03.010030.0050,"1-1/2"" Copper Pipe, Hard, Type M",LF,4.48,1,,75,1,HR,0,0,1,HR,0
03.010030.0060,"2"" Copper Pipe, Hard, Type M",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0070,"2-1/2"" Copper Pipe, Hard, Type M",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0080,"3"" Copper Pipe, Hard, Type M",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0090,"3-1/2"" Copper Pipe, Hard, Type M",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0100,"4"" Copper Pipe, Hard, Type M DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
03.010030.0110,"4"" Copper Pipe, Hard, Type M",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0120,"3/4"" Copper Pipe, Hard, Type M DELETE",LF,1.3,1,,75,1,HR,0,0,1,HR,0
03.010030.0130,"1"" Copper Pipe, Hard, Type M DELETE",LF,2.21,1,,75,1,HR,0,0,1,HR,0
03.010030.0140,"1-1/4"" Copper Pipe, Hard, Type M DELETE",LF,3.25,1,,75,1,HR,0,0,1,HR,0
03.010030.0150,"1-1/2"" Copper Pipe, Hard, Type M DELETE",LF,4.48,1,,75,1,HR,0,0,1,HR,0
03.010030.0160,"2"" Copper Pipe, Hard, Type M DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0170,"2-1/2"" Copper Pipe, Hard, Type M DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0180,"3"" Copper Pipe, Hard, Type M DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
03.010030.0190,"3-1/2"" Copper Pipe, Hard, Type M DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
