Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
06.010030.0010,"1/8"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0020,"1/4"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0030,"3/8"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0040,"1/2"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0050,"3/4"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0060,"1"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0070,"1-1/4"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0080,"1-1/2"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0090,"2"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0100,"2-1/2"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0110,"3"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0120,"3-1/2"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0130,"4"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
06.010030.0140,"2-1/2"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0150,"3"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0160,"3-1/2"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0170,"4"" A53 Schedule-40 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0180,"1/4"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0190,"3/8"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0200,"1/2"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0210,"3/4"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0220,"1"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0230,"1-1/4"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0240,"1-1/2"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010030.0250,"2"" A53 Schedule-40 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040 Pipe Schedule-80 A53 Black - Plain End,,,,,,,,,,,,,
06.010040.0010,"1/4"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0020,"3/8"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0030,"1/2"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0040,"3/4"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0050,"1"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0060,"1-1/4"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0070,"1-1/2"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0080,"2"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0090,"2-1/2"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0100,"3"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0110,"3-1/2"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0120,"4"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
06.010040.0130,"3"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0140,"3-1/2"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0150,"4"" A53 Schedule-80 Black Pipe, Plain End",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0160,"3/8"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0170,"1/2"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0180,"3/4"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010040.0190,"1"" A53 Schedule-80 Black Pipe, Plain End DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
